CategoryID,VariableID,CategoryName,CategoryDescription
1,48,1,Ninespine stickleback present
2,48,2,fish detected
3,48,3,no fish detected
4,48,4,fish not sampled
5,93,I,"I, i, and ICE indicates data is ice affected"
6,366,A,"Abridged Beaufort, NCDC ISH"
7,367,A,"Aircraft, NCDC ISH"
8,368,N,Missing and No:  The code that represents whether the CAVOK condition has been reported. NCDC ISH
9,369,1,"Measurement impossible or inaccurate, NCDC ISH"
10,371,1,Measurement impossible or inaccurate
11,385,9,missing
13,387,99,missing
14,387,00,"None, SKC or CLR"
15,387,01,"One okta - 1/10 or less but not zero, NCDC ISH"
16,387,02,"Two oktas - 2/10 -3/10, or FEW, NCDC ISH"
17,387,03,"Three oktas - 4/10, NCDC ISH"
18,387,04,"Four oktas 5/10 or SCT, NCDC ISH"
19,387,05,"Five oktas - 6/10, NCDC ISH"
20,387,06,"Six oktas - 7/10 - 8/10, NCDC ISH"
21,387,07,"9/10 or more but not 10/10 or BKN, NCDC ISH"
22,387,08,"Eight oktas - 101 or OVC, NCDC ISH"
23,387,09,"Sky obscured or cloud amount cannot be estimated, NCDC ISH"
24,387,10,"Partial obscuration, NCDC ISH"
25,366,B,"Beaufort, NCDC ISH"
26,366,C,"Calm, NCDC ISH"
27,366,H,"5-Minute Average Speed, NCDC ISH"
28,366,N," Normal, NCDC ISH"
29,366,Q,"Squall, NCDC ISH"
30,366,R,"60-Minute Average Speed, NCDC ISH"
31,366,T,"180-Minute Average Speed, NCDC ISH"
32,366,V,"Variable, NCDC ISH"
33,367,B,"Balloon, NCDC ISH"
34,367,C,"Statistically derived, NCDC ISH"
35,367,D,"Persistent cirriform ceiling (pre-1950 data), NCDC ISH"
36,367,E,"Estimated, NCDC ISH"
37,367,M,"Measured, NCDC ISH"
38,367,P,"Precipitation ceiling (pre-1950 data), NCDC ISH"
39,367,R,"Radar, NCDC ISH"
40,367,S,"ASOS augmented, NCDC ISH"
41,367,U,"Unknown ceiling (pre-1950 data), NCDC ISH"
42,367,W,"Obscured, NCDC ISH"
43,368,Y,"Yes, NCDC ISH"
44,369,2,"Trace, NCDC ISH"
45,369,3,"Begin accumulated period (precip amount missing until end of accumulated period), NCDC ISH"
46,369,4,"End accumulated period, NCDC ISH"
47,369,5,"Begin deleted period (precip amount missing due to data problem), NCDC ISH"
48,369,6,"End deleted period, NCDC ISH"
