1	Unknown	Unknown			Unknown				
2	FoxTPS	80905	2009-07-01		Yankee Environmental Systems TPS-3100, also called the Hot Plate				
3	BarrowTPS		2010-07-01						
4	BarrowCurrent		2010-07-01						
5	BarrowDepth		2010-07-01						
6	T-handle 								
7	Fathometer calibrated with weighted line								
8	RM Young 05103				WS:Accuracy: 60.6 mph;Operating Range: 0 to 60 m/s (0 to 134 mph);Starting Threshold: 1 m/s (2.2 mph);Height: 3 meters (9.8 feet)/WD:Accuracy: 63°,Operating Range: 0° to 360° mechanical; (0° to 355° electrical (5° open);Installation: Align true north;Height: 3 meters (9.8 feet)				
9	Vaisalla HMP45C				RH Accuracy @20°C: 62% RH ( 0-90%), 63% RH (90-100%),Temperature Accuracy: 60.2°C at 20°C; 60.4°C at -40°C,Temperature Range: -40 to +60°C,RH Range: 0 to 100%,Installation: In 10-plate gill radiation shield, non-aspirated,Height: 2 meters (6.6 feet)				
11	Texas Electronics 525WS (Tipping Bucket Gauge) 				Resolution: 0.01 in,Accuracy: 61% up to 1 in./hr; +0 to -2.5% for 1 to 2 in./hr rainfall rates,Installation: Surrounded by ETI Alter (wind) shield,Height: 0.4-0.7 meters (1.3 - 2.3 feet)				
12	Campbell Scientific SR50 (Ultrasonice distance sensor) 				Operating Range: 0.5 to 10 meters,Resolution: 0.1 mm,Accuracy: 61 cm or 0.4% of distance to target, whichever is greater ,Installation: Point straight down on a flat surface,Height: 1.34 meters (4.4 feet)				
13	Kipp and Zonen NR-Lite				Installation: Orient to south to minimize shadow effect from pole,Accuracy: Varies with temperature, wind speed and sensor symmetry,Height: 1.24 meters (4.1 feet)				
14	GWS YSI Series 44033 (Thermistors)/Soil Surface Temp/Backup Temp Sensor				(ST1,ST2,ST3) Depths: ~1cm (surface), at top of soil interface, 3 thermistors::For Backup Temp Operating Range: -80°C to +75°C,Installation: In 6-plate gill radiation shield, non-aspirated,Height: 2 meters (6.6 feet) 				
15	GWS YSI Series 44033 (Thermistors)/Soil Temp Profile				(STP1,STPn,..,STP12) Installation: In back-filled bored hole,Depths: 0-150 cm; 1-12 thermistors (based on actual depth of bored drill hole)				
16	Campbell Scientific CS616 Soil-Moisture Probe				(SM1,SM2,SM3),     * Installation: horizontal orientation in back-filled hole,Depths: 10, 20, 40 cm				
17	Texas Electronics TE525MM 				"Resolution (1 Tip) : 0.1 mm (0.004 in);Accuracy: ±1% at rates up to 1""/hr;Installation: wind shield;Height: 1 m"				
18	RM Young 05103-L 				WS:Accuracy: +/- 0.3 m/s (+/- 0.6 mph);Operating Range: 0 to 60 m/s (0 to 134 mph);Starting Threshold: 1 m/s (2.2 mph);Height: 3 m;Output Units: meters per second;Scan Interval: 5 seconds/WD:Operating Range: 0 to 360 deg (mechanical) true north (0 to 355 electrical, 5 deg open);Starting Threshold: 1.1 m/s (2.2 mph) 10 deg displacement;Installation: Align true north;Height: 3 m;Output Units: degrees true north;Scan Interval: 5 seconds 				
19	HMP45C Vaisala AT/RH sensor				RH Accuracy @20°C: 62% RH ( 0-90%), 63% RH (90-100%) ;Temperature Accuracy: 60.2°C at 20°C; 60.4°C at -40°C ;RH Range: 0 to 100%;Installation: In 12-gill radiation shield, non-aspirated;Height: 2 meters (6.6 feet);Output Units: °C;Scan Interval: 60 seconds				
20	Campbell Scientific SR50 (sonic ranging sensor)				Operating Range: 0.5 to 10 meters	Resolution: 0.1 mm	Accuracy: to 1 cm or 0.4 percent of distance to target 	Installation: Point straight down on a flat surface	Height: 1.5 m
21	Kipp and Zonen NR-Lite				Installation: Orient to south to minimize shadow effect from pole;Accuracy: Varies with temperature, wind speed and sensor symmetry;Height: 1.2 m				
22	(SM1,SM2,SM3,SM4) Campbell Scientific CS616 Soil-Moisture Probe				Installation: horizontal orientation in back-filled hole;Depths: 10cm, 20cm, 30cm, 40cm				
23	Aquistar SDI12 Water Level Sensor (pressure + temperature) 				Resolution: 16 bit 	Accuracy: ± 0.06% FSO (typical)	Operating Range: -5° C to 70° C		
24	CSI Mdl. 207 T/Rh				1.5m Air Temp/RH; activated in 1986; 10m AT/RH activated 1995; CSI,to be replaced by CSI 500				
25	HMP 45C,CSI				3m Air Temp/RH,CSI,to be replaced by CSI 500				
26	Met One mdl. 014A Anemometer				1m and 3m Wind Speed,Met One,Installed 1986; 10m WS activated 1995				
27	Met One mdl. 024A Wind Dir.				Wind Direction, Met One, Installed 1986				
