1	UAF-WERC-NSL_WaterChem: Raft A, 11/18/2005 1600
2	UAF-WERC-NSL_WaterChem: RaftB, 11/18/2005 1400
3	UAF-WERC-NSL_WaterChem: L9312-SH, 11/18/2005  1130
4	UAF-WERC-NSL_WaterChem: L9312 MP,  11/18/05 1530
5	UAF-WERC-NSL_WaterChem: MSB SJ,  12/15/05 1945
6	UAF-WERC-NSL_WaterChem: MSB South Cell,  12/15/2005 1800 
7	UAF-WERC-NSL_WaterChem: MSB-001(North Cell),  12/14/05 1850
8	UAF-WERC-NSL_WaterChem: KDA2-2,  12/15/05 1200
9	UAF-WERC-NSL_WaterChem: KDA2 - 001,  12/15/2005 1000
10	UAF-WERC-NSL_WaterChem: KDA1-Shore,  12/15/05 1500
11	UAF-WERC-NSL_WaterChem: KDA1-center, 12/15/05 1400
12	UAF-WERC-NSL_WaterChem: K113, 1/18/2006 1054
14	"UAF-WERC-NSL_WaterChem: KDA1,  1/10/06 1653		"
15	"UAF-WERC-NSL_WaterChem: KDA2,  1/10/2006 1301		"
16	UAF-WERC-NSL_WaterChem: KDA3, 1/10/2006 1057
17	"UAF-WERC-NSL_WaterChem: L9312 SH,  1/16/2006 1500	"
18	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 1/16/2006 1001	"
19	"UAF-WERC-NSL_WaterChem: L9312 Raft B-SH  MP,  1/16/2006 1001.  NOTE: No timestamps listed except '1/16/2006 10:01'		"
20	"UAF-WERC-NSL_WaterChem: L9817-1,  1/15/2006 1124	"
21	"UAF-WERC-NSL_WaterChem: L9817-2,  1/15/2006 1548	"
22	"UAF-WERC-NSL_WaterChem:  L9817-3,  1/15/2006 1454	"
23	"UAF-WERC-NSL_WaterChem: L9817-4,  1/15/2006 1418	"
24	"UAF-WERC-NSL_WaterChem:  MSB-NC-Center,  1/11/2006 1559	"
25	UAF-WERC-NSL_WaterChem:  MSB-NC-NE,  1/11/2006 1528
26	UAF-WERC-NSL_WaterChem: MSB-SC-Center,  1/12/2006 1533
27	"UAF-WERC-NSL_WaterChem: MSB-SC-SW,  1/12/2006 1800	"
28	"UAF-WERC-NSL_WaterChem: MSB-SJ,  1/12/2006 1855	"
29	"UAF-WERC-NSL_WaterChem: MSB north cell, 12/15/05 1830	"
30	UAF-WERC-NSL_WaterChem:  raft A /L9312, 1/16/06
31	UAF-WERC-NSL_WaterChem:  KDA1-CT, 2/15/2006  1215
32	"UAF-WERC-NSL_WaterChem:  KDA1-SH1, 2/15/2006 1611	"
33	"UAF-WERC-NSL_WaterChem:  KDA2-CT, 2/15/2006 1000	"
34	"UAF-WERC-NSL_WaterChem:  KDA2-SH1, 2/15/2006 1658	"
35	"UAF-WERC-NSL_WaterChem:  KDA2-SS, 2/15/2006 1530		"
36	"UAF-WERC-NSL_WaterChem:  KDA3-CT, 2/15/2006 1427	"
37	UAF-WERC-NSL_WaterChem: KDA2-KDA3-EC, 2/15/2006 1730
38	"UAF-WERC-NSL_WaterChem: L9312-SH, 2/17/2006 1558	"
39	"UAF-WERC-NSL_WaterChem: L9312-MP (B-SH), 2/17/2006 1449	"
40	"UAF-WERC-NSL_WaterChem: L9312- B, 2/17/2006 1000	"
41	"UAF-WERC-NSL_WaterChem: L9312-MP (A-B), 2/17/2006 1030		"
42	"UAF-WERC-NSL_WaterChem: L9312-A, 2/17/2006 1256		"
43	"UAF-WERC-NSL_WaterChem: L9817-1, 2/18/2006 1020		"
44	"UAF-WERC-NSL_WaterChem: L9817-2, 2/18/2006 1015	"
45	"UAF-WERC-NSL_WaterChem: L9817-3, 2/18/2006 1022	"
46	"UAF-WERC-NSL_WaterChem: L9817-4, 2/18/2006 1330	"
47	"UAF-WERC-NSL_WaterChem:L9817-20a, 2/18/2006 1215	"
48	"UAF-WERC-NSL_WaterChem: L9817-21, 2/18/2006 1100	"
49	"UAF-WERC-NSL_WaterChem: MSB-NC-CT, 2/14/2006 1000	"
50	"UAF-WERC-NSL_WaterChem: MSB-NC-NE, 2/14/2006 1703	"
51	UAF-WERC-NSL_WaterChem: MSB-SC-SJ, 2/14/2006 1551
52	"UAF-WERC-NSL_WaterChem: MSB-SC-CT, 2/14/2006 1232	"
53	"UAF-WERC-NSL_WaterChem: KDA2- CT, 3/16/06 1129	"
54	"UAF-WERC-NSL_WaterChem: L9312- B, 3/17/2006 1619	"
55	"UAF-WERC-NSL_WaterChem: L9312-MP (B-SH), 3/17/06 0905	"
56	"UAF-WERC-NSL_WaterChem: L9312-A, 3/17/2006 1740	"
57	"UAF-WERC-NSL_WaterChem: L9312-SH-Pump-MP, 3/17/2006 1650	"
58	"UAF-WERC-NSL_WaterChem: MSB-NC-CT, 3/14/2006 1339	"
59	"UAF-WERC-NSL_WaterChem: MSB-SC-SW, 3/15/2006 1356	"
60	UAF-WERC-NSL_WaterChem: MSB-SC-SJ, 3/15/2006  1430
61	"UAF-WERC-NSL_WaterChem: MSB-SC-CT, 3/15/2006 1101	"
62	"UAF-WERC-NSL_WaterChem: Alpine Water Plant, 4/17/2006 1945	"
63	"UAF-WERC-NSL_WaterChem: KDA1-CT,  4/15/2006 1345	"
64	"UAF-WERC-NSL_WaterChem: KDA1-SH1, 4/15/2006 1418	"
65	"UAF-WERC-NSL_WaterChem: KDA2- CT, 4/15/2006 1115	"
66	"UAF-WERC-NSL_WaterChem: KDA2-SS, 4/15/2006 1718	"
67	"UAF-WERC-NSL_WaterChem: L9312-SH, 4/17/2006 1402	"
68	"UAF-WERC-NSL_WaterChem:  L9312-MP (A-B), 4/17/2006 1207	"
69	"UAF-WERC-NSL_WaterChem:  L9312- B, 4/17/2006 0930	"
70	"UAF-WERC-NSL_WaterChem: L9312-MP (B-SH), 4/17/2006 1515	"
71	"UAF-WERC-NSL_WaterChem: L9312-A, 4/17/2006 1120	"
72	"UAF-WERC-NSL_WaterChem: L9312-SEW4, 4/17/2006 1629	"
73	"UAF-WERC-NSL_WaterChem: L9817-1, 4/18/2006 1156	"
74	"UAF-WERC-NSL_WaterChem: L9817-2, 4/18/2006 1337	"
75	"UAF-WERC-NSL_WaterChem: L9817-3, 4/18/2006 1420	"
76	"UAF-WERC-NSL_WaterChem: L9817-4, 4/18/2006 1455	"
77	"UAF-WERC-NSL_WaterChem: L9817-20,4/18/2006 1525	"
78	"UAF-WERC-NSL_WaterChem: L9817-22	, 4/18/2006 1600	"
79	"UAF-WERC-NSL_WaterChem: MSB-NC-CT, 4/14/2006 1353	"
80	"UAF-WERC-NSL_WaterChem: MSB-NC-NE2, 4/14/2006 1956	"
81	"UAF-WERC-NSL_WaterChem: MSBS-CT, 4/14/2006 1628	"
82	UAF-WERC-NSL_WaterChem: MSB-SC-SJ, 4/16/2006 1422
83	"UAF-WERC-NSL_WaterChem: MSB-SC-SW, 4/14/2006 1814	"
84	"UAF-WERC-NSL_WaterChem: KDA1-CT, 5/21/2006 1509	"
85	"UAF-WERC-NSL_WaterChem: KDA2-CT, 5/21/2006 1250	"
86	"UAF-WERC-NSL_WaterChem: KDA3-CT, 5/21/2006 1708	"
87	"UAF-WERC-NSL_WaterChem: KDA2-SS, 5/21/2006 1946	"
88	"UAF-WERC-NSL_WaterChem: MSB-NC-CT, 5/22/2006 1410	"
89	"UAF-WERC-NSL_WaterChem: MSB-SC-CT, 5/22/2006 0000	"
90	"UAF-WERC-NSL_WaterChem: KDA1-CT, 11/14/2006  1543	"
91	"UAF-WERC-NSL_WaterChem: KDA2-CT, 11/14/2006  1329	"
92	"UAF-WERC-NSL_WaterChem: KDA3-CT, 11/14/2006 1830	"
