SiteID,SiteCode,SiteName,SpatialCharacteristics,SourceID,VerticalDatum,LocalProjectionID,PosAccuracy_m,State,County,Comments,LatLongDatumID,GeoLocation,LocationDescription
1,TPN,Fox,Point,1,unknown,,,Alaska,Fairbanks North Star,"The UAF Total Precipitation Sensor is installed at the NOAA-NESDIS Gilmore Trail facility near Fox Alaska. The unit is co-installed with one of NOAA's Climate Reference Network (CRN) stations and it mounted to the top of the CRN tower. The sensor head is at approximately 15' off the ground. The area is in a large, flat clearing on a hillside. The sensor is wired into a CR1000 datalogger and uses Freewave radios to transmit the data back to the NESDIS administrative building. Here a Moxa serial server is connected to a dedicated UAF network, managed by the Geographic Information Network for Alaska (GINA)",3,POINT (-147.51 64.97333 347),"North of Fairbanks, Alaska"
2,TPN,UAFWERC_BARROW,Point,1,unknown,,,Alaska,North Slope Borough,,3,POINT (-156.788 71.29 10),
4,3913,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.22150027342482 70.026111040332083, -145.22200602342528 70.02618391533214, -145.22263908592586 70.026184915332138, -145.22314683592634 70.026099040332042, -145.2234014609266 70.025998290332, -145.22348739842667 70.025883040331834, -145.2236147109268 70.025840040331843, -145.22463102342772 70.0255962278316, -145.22446771092757 70.025163040331137, -145.22387708592703 70.025147665331161, -145.22316083592636 70.025045602831071, -145.2223578984256 70.025116415331112, -145.22146921092479 70.0252882278313, -145.22092046092428 70.025273102831292, -145.22071008592408 70.025229415331225, -145.22067127342405 70.024984040331034, -145.22109789842443 70.024652665330692, -145.22114189842449 70.024508477830551, -145.22097583592432 70.024306227830337, -145.22072427342408 70.024175915330233, -145.2205140859239 70.024117852830173, -145.21962689842306 70.02417422783023, -145.21814489842168 70.024518290330576, -145.21788989842145 70.024647852830654, -145.21860664842211 70.024706602830733, -145.2165308359202 70.025266102831253, -145.21673927342039 70.025454040331454, -145.21707664842069 70.0254834153315, -145.21741689842102 70.025296415331283, -145.21783983592141 70.025239290331285, -145.21838671092192 70.025370040331367, -145.21859002342211 70.025947602831934, -145.21922139842269 70.026078477832073, -145.22120621092455 70.026023915332033, -145.22150027342482 70.026111040332083))",
5,3924,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.23305589843557 70.013746665320269, -145.2330973984356 70.013833290320335, -145.23330764843581 70.013876915320381, -145.23381321093629 70.013921040320426, -145.2339394609364 70.013950040320466, -145.23393883593639 70.014007665320477, -145.23309364843561 70.0141220403206, -145.23304846093558 70.014338290320836, -145.23338121093587 70.014714040321167, -145.23307921093559 70.015247602821674, -145.23315646093567 70.015796040322215, -145.23277339843531 70.0160552278225, -145.23260021093515 70.016415852822817, -145.23268327343524 70.0165024153229, -145.23322939843572 70.016690852823046, -145.23356208593606 70.017066602823434, -145.23381302343628 70.0172546028236, -145.23481989843722 70.017703415324064, -145.23503008593741 70.017761477824109, -145.23633608593863 70.017922102824258, -145.23692889843917 70.0177642903241, -145.23777702343997 70.017433602823772, -145.23799364844018 70.016972102823331, -145.23782739844003 70.016769852823131, -145.23855089844071 70.016280227822648, -145.23863739844077 70.016107102822531, -145.23847246094061 70.015789477822224, -145.23822146094039 70.015644852822078, -145.2375907109398 70.015470602821921, -145.23687371093914 70.015455227821889, -145.23657927343885 70.015382602821788, -145.23641289843872 70.015194665321658, -145.23620821093851 70.0147038528212, -145.23591783593824 70.0143136653208, -145.23550008593784 70.013981227820452, -145.23499664843737 70.013764040320254, -145.23432289843674 70.013661915320185, -145.2336052734361 70.013704227820227, -145.23318308593571 70.0137036028202, -145.23305589843557 70.013746665320269))",
6,3928,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.6011668362784 70.0188366028251, -145.60146271127869 70.018894227825172, -145.60306727378017 70.019066415325369, -145.6043770862814 70.019426477825689, -145.60598489878288 70.020233665326458, -145.60628071128318 70.020305665326518, -145.60687708628373 70.020259227826472, -145.60758821128439 70.020203915326462, -145.60809308628487 70.0198861028261, -145.6098633987865 70.019495415325764, -145.61074889878734 70.019379290325631, -145.61129689878783 70.019249102825555, -145.61180289878831 70.01917666532546, -145.61273027378917 70.018988415325282, -145.61323539878964 70.018771665325062, -145.61369946129008 70.018742477825015, -145.61698583629314 70.017816852824154, -145.61820846129427 70.017657227823989, -145.62453521130016 70.017176665323547, -145.62774264880315 70.017275415323653, -145.63019189880544 70.017576665323887, -145.63053064880575 70.017792915324122, -145.63036402380561 70.018110477824422, -145.630788273806 70.018514290324831, -145.6325196488076 70.018700602824993, -145.63344939880847 70.01888747782516, -145.63408227380907 70.018843665325164, -145.63471539880965 70.01887222782517, -145.63589646131075 70.01881347782512, -145.63657108631139 70.018740852825033, -145.63796183631268 70.018465602824776, -145.63880508631345 70.01836404032467, -145.63918371131382 70.018176040324519, -145.63998489881456 70.018088852824391, -145.64099502381549 70.017712852824076, -145.64369608631802 70.01778266532412, -145.64825108632226 70.017461477823829, -145.6498977113238 70.017604415323973, -145.65263871132635 70.017342415323725, -145.65310302382679 70.017385290323745, -145.65386202382749 70.0173269153237, -145.65424039882782 70.017124477823486, -145.65482683632837 70.016546852822941, -145.65507889882861 70.016387852822788, -145.65545727382897 70.0162288528226, -145.65608739882956 70.015838602822242, -145.65600221132948 70.015737602822156, -145.65553746132903 70.015651415322068, -145.65465127382822 70.015637852822039, -145.65406089882768 70.015696040322126, -145.65233202382606 70.015798477822187, -145.65102364882483 70.015727477822139, -145.64895689882292 70.015830227822264, -145.64722783632129 70.0159904778224, -145.64596339882013 70.0161791028226, -145.64381221131814 70.0162962903227, -145.64115439881564 70.016341665322713, -145.63904564881369 70.016444290322838, -145.63736108631213 70.0169506653233, -145.63538008631028 70.017255415323575, -145.63369189880871 70.0172566028236, -145.63297408630802 70.017185040323525, -145.63200221130711 70.01696929032336, -145.63128321130645 70.016681102823028, -145.63052246130576 70.016479602822855, -145.63005727380531 70.0162924153227, -145.63018346130542 70.016263415322641, -145.63001389880526 70.016133665322556, -145.63005527380531 70.016003852822436, -145.63039271130563 70.015960227822376, -145.63056102380577 70.015902415322316, -145.63056064880578 70.015815852822229, -145.62946102380477 70.01539810282182, -145.62836208630372 70.0150814153215, -145.62772702380315 70.014778852821223, -145.62772508630314 70.014461415320966, -145.62776721130317 70.014446915320946, -145.62772421130313 70.0143314778208, -145.62806102380344 70.014201290320727, -145.62869421130404 70.014229665320727, -145.62907339880439 70.014157290320668, -145.62941139880471 70.014229227820749, -145.62979039880506 70.014084665320581, -145.62936689880468 70.013854102820389, -145.62940883630472 70.013810665320349, -145.62936521130467 70.01360866532012, -145.62944883630473 70.013493227820021, -145.62957464880486 70.0133776653199, -145.62974302380502 70.01330541531982, -145.63024646130549 70.01285766531943, -145.63020383630544 70.012785477819321, -145.6300350863053 70.012771227819329, -145.62957102380486 70.012771602819342, -145.62910802380443 70.012945102819472, -145.62843389880379 70.013089915319611, -145.62767589880309 70.013292477819817, -145.62733827380279 70.013278290319789, -145.62708446130253 70.013206290319744, -145.62712589880257 70.013047477819569, -145.6266188363021 70.012889227819443, -145.62636308630186 70.012499665319069, -145.6262780863018 70.012384290318948, -145.62556108630113 70.012399290318967, -145.62539321130097 70.012543665319072, -145.62539421130097 70.01273129031928, -145.62611327380165 70.0130482278196, -145.62603046130155 70.0132936028198, -145.62548402380105 70.0135970403201, -145.6255273988011 70.013813477820335, -145.6247688988004 70.013943915320439, -145.6243472113 70.013973040320465, -145.6237140862994 70.013959102820465, -145.62346039879918 70.013872665320363, -145.62341771129914 70.013757227820278, -145.6230772737988 70.013281290319838, -145.6231590862989 70.012848290319383, -145.62362164879931 70.012559415319132, -145.62383039879953 70.0122129153188, -145.62378708629947 70.012010852818591, -145.62361746129932 70.011910040318526, -145.62344671129915 70.01153491531818, -145.6230667112988 70.011477415318069, -145.62315283629889 70.011780415318412, -145.62332346129904 70.01209785281867, -145.62248283629825 70.012632290319189, -145.62248408629827 70.0128344153194, -145.62257064879833 70.013180602819745, -145.62257227379834 70.01348360282, -145.62240489879818 70.0137002903202, -145.62215264879794 70.013859102820376, -145.62219583629798 70.014046665320549, -145.62215421129795 70.0141332903206, -145.62185989879768 70.014321102820816, -145.62068083629657 70.014697102821174, -145.6202592112962 70.014755102821212, -145.62000664879596 70.0148274153213, -145.61869902379473 70.014900602821342, -145.61730883629343 70.015247852821716, -145.61583464879206 70.015681852822084, -145.61305327378949 70.016332915322721, -145.61216864878864 70.016578852822974, -145.60989164878654 70.016868852823222, -145.60837327378511 70.016985227823341, -145.60529339878224 70.017088102823465, -145.60364846128073 70.017175665323535, -145.60276283627988 70.017320477823688, -145.60170927377891 70.0175520403239, -145.60107639877833 70.017595665323952, -145.60061246127788 70.017596040323923, -145.59921971127659 70.0175822278239, -145.59896702377637 70.017640227823989, -145.59892508627632 70.017712290324042, -145.59829302377574 70.017885852824207, -145.59808239877555 70.0179870403243, -145.59795683627542 70.018189040324486, -145.59846546127588 70.018693915325, -145.59939539877675 70.018996415325262, -145.59973302377708 70.019010665325311, -145.60040739877769 70.018837102825088, -145.60082908627808 70.018822415325118, -145.6011668362784 70.0188366028251))",
7,3938,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.60221189877939 70.01683022782322, -145.60288708628002 70.016858665323255, -145.60377321128084 70.016843665323222, -145.60436383628138 70.016785665323141, -145.60478564878179 70.016814290323154, -145.60546083628242 70.016785040323171, -145.60596664878287 70.0166836028231, -145.6062192112831 70.016596915322978, -145.60638727378327 70.016452415322874, -145.6070624612839 70.016480915322845, -145.60798989878475 70.016321602822742, -145.60925608628594 70.0163352903227, -145.60950689878618 70.015902227822309, -145.60984327378648 70.0156711028221, -145.61030708628692 70.01561310282203, -145.61072902378731 70.015598415322046, -145.61089739878747 70.015526102821937, -145.61093908628752 70.015439477821886, -145.61085408628742 70.015353040321784, -145.60996764878661 70.0152814153217, -145.6097562112864 70.015195040321615, -145.60971264878637 70.01492085282139, -145.60954283628621 70.014762227821237, -145.60916308628586 70.014719102821175, -145.60865608628538 70.0146184153211, -145.60840227378515 70.014488665320982, -145.6078048362846 70.013132477819639, -145.60784439878464 70.012656227819221, -145.6079272737847 70.01239641531896, -145.60809508628486 70.012165415318748, -145.60758464878438 70.01137204031798, -145.6073737112842 70.011343290317981, -145.60712089878396 70.011386665317985, -145.60686889878372 70.011646602818246, -145.60657483628344 70.011834415318447, -145.60632164878319 70.011863415318473, -145.60535146128231 70.011864040318471, -145.603959836281 70.011951415318535, -145.60349646128057 70.012096040318681, -145.60320221128029 70.0122549153188, -145.60303608628016 70.012803415319368, -145.60278421127992 70.013048915319615, -145.60248921127965 70.013135665319638, -145.60177227377898 70.01317941531974, -145.60067664877795 70.01342529031993, -145.59991702377724 70.013396852819909, -145.5994536487768 70.013527040320042, -145.59937046127672 70.013757915320284, -145.59894964877634 70.0139891028205, -145.59890783627631 70.0140756653206, -145.59907839877647 70.01443629032093, -145.59941683627679 70.014638227821081, -145.59929421127666 70.015475290321916, -145.59954883627691 70.015749415322176, -145.59946521127682 70.015965852822347, -145.60018302377748 70.016066477822491, -145.60026864877756 70.016311665322746, -145.60111364877835 70.016556602822945, -145.60119846127844 70.016628665323026, -145.60149408627871 70.0166862903231, -145.60174771127896 70.016772665323174, -145.60221189877939 70.01683022782322))",
8,3948,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.68284064885447 70.011353915318, -145.68191502385361 70.011657852818246, -145.68090771135266 70.012221665318791, -145.67926689885115 70.012728415319273, -145.67792102384988 70.013220477819772, -145.67632108634839 70.013597290320135, -145.67590146134802 70.013857415320373, -145.6759917113481 70.014564477821, -145.67561489884775 70.014911227821358, -145.67570046134782 70.015041040321492, -145.67616446134826 70.0150550403215, -145.67738646134939 70.014851665321331, -145.67818446135013 70.014432415320925, -145.67864408635057 70.0139124153204, -145.68003139885187 70.013333852819841, -145.68183989885353 70.012696915319239, -145.68339071135497 70.011555290318185, -145.68330446135491 70.011338915317964, -145.68284064885447 70.011353915318))",
9,3950,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.55148171123213 70.011786915318382, -145.55160827373226 70.011844602818414, -145.55177721123241 70.011873290318476, -145.55198864873262 70.0120464778186, -145.55279271123337 70.012984290319551, -145.55367989873417 70.013503477820024, -145.5541440862346 70.013618852820144, -145.554566461235 70.013763040320256, -145.55600071123635 70.01373366532026, -145.55654902373686 70.013646915320166, -145.55680164873709 70.013531415320045, -145.55764521123788 70.013372415319878, -145.55869964873887 70.013328852819839, -145.55945871123956 70.013256290319788, -145.56013346124018 70.013126290319661, -145.56025983624031 70.01302522781954, -145.56017502374024 70.012924227819454, -145.55987946123994 70.0128664778194, -145.55920446123932 70.0128379153194, -145.55890902373906 70.012780290319341, -145.55911939873926 70.012592665319133, -145.55903421123918 70.0123040403189, -145.55920289873933 70.01226066531882, -145.55928702373942 70.012145227818721, -145.55911783623924 70.012058602818641, -145.55882227373897 70.01200104031858, -145.55861121123877 70.0119001028185, -145.55861089873878 70.011755665318375, -145.5583146487385 70.011452852818053, -145.55865189873882 70.011337227817975, -145.55898921123912 70.011279415317887, -145.55915771123929 70.011207227817835, -145.55919946123933 70.011091665317693, -145.55903064873917 70.011005227817662, -145.55898808623911 70.010918602817554, -145.55919889873931 70.010832040317467, -145.55928289873941 70.010730915317382, -145.55898646123913 70.010327040316952, -145.558859648739 70.0102548528169, -145.55822689873841 70.010226227816872, -145.55751021123774 70.010313040317, -145.55725689873751 70.010298602816945, -145.55708802373735 70.0102266028169, -145.55708789873736 70.010183290316846, -145.55696121123722 70.0100968528168, -145.55696083623724 70.009981227816638, -145.55658102373687 70.009938102816591, -145.5562857112366 70.009967102816631, -145.55607483623641 70.009952665316632, -145.55561064873598 70.0099096028166, -145.55544189873581 70.009851915316517, -145.55552602373589 70.009779665316444, -145.55544146123583 70.009750915316431, -145.55611508623645 70.009317665316, -145.55645246123677 70.009245477815952, -145.55678939873707 70.009086602815813, -145.55674708623704 70.008985602815727, -145.55657808623687 70.008927915315638, -145.55611402373646 70.00891366531566, -145.55602964873637 70.008855915315593, -145.55539702373579 70.008841665315543, -145.55480702373524 70.009044040315729, -145.5543433987348 70.009145227815821, -145.55421702373468 70.00923185281593, -145.55333183623387 70.009419602816124, -145.55324746123378 70.009448477816136, -145.55324771123378 70.009506227816175, -145.55291039873347 70.0096362278163, -145.55227802373287 70.009708477816375, -145.55206727373269 70.009809602816517, -145.55202527373265 70.009867415316535, -145.55206764873267 70.009968415316621, -145.55194139873257 70.010011602816689, -145.55185721123249 70.010098290316762, -145.55160402373224 70.010127227816781, -145.55143583623209 70.01031485281699, -145.55021339873096 70.010589415317227, -145.54983408623059 70.01080610281744, -145.54962327373039 70.010878227817528, -145.54899083622982 70.010936227817538, -145.54886439872971 70.010994040317627, -145.54899108622982 70.011109415317748, -145.54848621122935 70.011542415318132, -145.54844389872932 70.011629040318269, -145.5482334612291 70.01174447781834, -145.548106898729 70.011759040318381, -145.5478118362287 70.011874477818466, -145.54781189872872 70.011932227818534, -145.54793883622884 70.012018852818571, -145.54814983622904 70.012062040318639, -145.54890889872974 70.01200410281858, -145.55072221123143 70.011743852818356, -145.55118627373184 70.01172922781835, -145.55148171123213 70.011786915318382))",
10,3957,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.29268764849112 70.007374915314173, -145.29285546099126 70.007476102814266, -145.29302389849141 70.007490665314265, -145.29374246099209 70.007347227814122, -145.29412183599246 70.00737641531417, -145.29445821099276 70.0074490403142, -145.29475339849304 70.007478227814261, -145.29618783599437 70.007422102814189, -145.29724271099536 70.007351102814127, -145.29922683599719 70.007151415313942, -145.29960608599757 70.007180602813975, -145.30057483599845 70.007311602814113, -145.30124921099909 70.00735560281413, -145.30167102349947 70.007356227814157, -145.30226239850003 70.007255665314062, -145.3035290235012 70.0071126653139, -145.30466721100228 70.007171665313976, -145.30500408600258 70.007229852814021, -145.30525621100281 70.007331102814135, -145.30559321100313 70.007374852814152, -145.30728002350469 70.007376602814176, -145.30846121100581 70.007349040314111, -145.30858908600592 70.007190477813978, -145.30859121100593 70.00697391531375, -145.3084652110058 70.006901665313691, -145.30817083600553 70.006814852813619, -145.30631683600382 70.006654102813485, -145.30572646100325 70.006624477813446, -145.30441902350205 70.006652040313469, -145.30391321100157 70.006608102813431, -145.30378739850144 70.006550290313356, -145.30387246100153 70.0064638528133, -145.30442239850203 70.006291227813136, -145.30518246100274 70.006176602813042, -145.30551983600307 70.00617704031302, -145.30581564850334 70.006134040313015, -145.30606921100357 70.006062102812933, -145.30628146100378 70.005903602812751, -145.30657739850406 70.00581722781267, -145.30683108600428 70.005759852812631, -145.30767564850507 70.005645290312486, -145.30797539850536 70.005154915312062, -145.30797708600534 70.004952915311819, -145.30810646100548 70.004650040311546, -145.30810871100547 70.004390227811285, -145.30794421100532 70.003942852810852, -145.30714502350457 70.003739852810682, -145.30664046100409 70.003580477810544, -145.30638871100388 70.003450415310411, -145.30609383600358 70.003421227810364, -145.30537846100293 70.003247290310242, -145.30495683600253 70.003246852810207, -145.30327108600096 70.003129477810091, -145.30192183599971 70.0031424153101, -145.30149989849932 70.003156415310116, -145.30090827349878 70.003285602810251, -145.30023283599814 70.003385915310346, -145.29993783599787 70.003342290310286, -145.29938964849737 70.003370602810321, -145.29896808599696 70.003341290310289, -145.2983778359964 70.003355040310339, -145.29799802349606 70.003383415310353, -145.29774408599582 70.003469665310448, -145.296857898495 70.003540915310523, -145.29618321099437 70.003540102810476, -145.29571908599394 70.003568477810532, -145.2952547109935 70.003625665310565, -145.29487439849314 70.003740602810709, -145.29390321099226 70.0038694778108, -145.29348002349184 70.004027852810978, -145.29326871099164 70.004070852811, -145.29309827349149 70.004243852811186, -145.29305383599146 70.004489102811391, -145.29258502349103 70.004993477811908, -145.29254021099098 70.005253227812148, -145.29245471099088 70.005368602812254, -145.29253789849096 70.005469665312319, -145.29295889849138 70.005556852812433, -145.29371708599206 70.005644227812525, -145.29392739849226 70.005702227812563, -145.29392521099226 70.005904227812735, -145.29358621099195 70.006091477812916, -145.293627085992 70.006207040313043, -145.29438639849269 70.006179040313015, -145.29451289849283 70.006193602813056, -145.29451208599281 70.006280102813122, -145.29391764849225 70.0066834778135, -145.29378864849213 70.006943102813722, -145.29361889849199 70.007043915313872, -145.2927738359912 70.007216227814, -145.29268764849112 70.007374915314173))",
11,3961,,Polygon/Constant over surface,2,unknown,,,Alaska,,,3,"POLYGON ((-145.52215927370483 70.007810040314567, -145.52228608620493 70.007882102814634, -145.52283427370546 70.007954227814707, -145.52494264870742 70.007607602814389, -145.52544908620789 70.0077230403145, -145.52553327370796 70.007766227814557, -145.52608183620848 70.007838290314638, -145.52684108620917 70.007881602814621, -145.5278113987101 70.0079246653147, -145.53042621121253 70.007895415314636, -145.53063683621272 70.007808852814549, -145.53080508621287 70.007476915314271, -145.53114246121319 70.007447915314231, -145.53147971121351 70.00727460281405, -145.53156371121358 70.007072602813864, -145.53147908621349 70.007014852813811, -145.53109971121316 70.006957227813729, -145.53097289871303 70.0068851028137, -145.530930836213 70.006798477813589, -145.53025571121236 70.006755290313578, -145.53021346121233 70.006639915313443, -145.53029783621241 70.0065821028134, -145.53033971121243 70.0064522278133, -145.53021283621231 70.006322415313178, -145.52970646121184 70.006250290313076, -145.52941139871157 70.006293665313109, -145.52852621121076 70.006510227813308, -145.52852583621075 70.006337102813134, -145.52877889871098 70.006293665313109, -145.52890539871112 70.0062360403131, -145.52882089871102 70.006178290313045, -145.52856783621078 70.006120602812942, -145.52763989870994 70.006135227812962, -145.52721827370954 70.006091915312965, -145.52709164870942 70.006005415312828, -145.5269652112093 70.00599104031285, -145.5269642737093 70.00541366531229, -145.5264158362088 70.005240665312087, -145.52616264870855 70.004966477811848, -145.52582521120823 70.0049232903118, -145.52548783620793 70.005038852811921, -145.52540389870785 70.0054140403123, -145.52548846120791 70.005529415312409, -145.52527771120774 70.005630477812488, -145.5249403987074 70.005645040312515, -145.52456071120707 70.005544040312415, -145.52451802370703 70.0050244778119, -145.5241804612067 70.004937915311857, -145.52392746120648 70.004909102811823, -145.52363239870618 70.004923602811829, -145.52316864870576 70.004981415311846, -145.5226627112053 70.005111415312, -145.52219883620486 70.005140227812021, -145.5208493987036 70.005255915312148, -145.52076521120352 70.005400102812288, -145.52097621120373 70.005501227812374, -145.52131364870402 70.005530040312408, -145.52186221120454 70.00583304031268, -145.52194646120464 70.005962915312821, -145.52228421120495 70.006107102812976, -145.52308546120568 70.006121477812954, -145.52333846120592 70.006179227813021, -145.52329664870589 70.006309102813148, -145.52333871120592 70.006424477813283, -145.52367627370623 70.006539915313368, -145.52405589870659 70.006568665313381, -145.52426683620678 70.006612040313456, -145.5243934612069 70.006684102813523, -145.52435127370686 70.006799602813629, -145.52401408620656 70.0068862278137, -145.52392971120648 70.0068862278137, -145.52359271120616 70.007088290313888, -145.52333964870593 70.00716047781394, -145.52291789870554 70.007218290314015, -145.52266483620531 70.007290415314117, -145.52241208620507 70.007420415314186, -145.5220327112047 70.007492602814281, -145.52215927370483 70.007810040314567))",
