1170,Happy Valley_SWE_snow survey,2576,WERC_Happy Valley_SnowSurvey,WERC_Happy Valley_SnowSurvey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1999-05-20 00:00:00,2010-05-28 00:00:00,63
1163,Franklin Bluffs SWE snow survey,2605,WERC_Franklin Bluffs_SnowSurvey,WERC_Franklin Bluffs_SnowSurvey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1987-05-15 00:00:00,2010-06-04 00:00:00,85
1168,Betty Pingo SWE snow survey,2640,WERC_Betty Pingo (P03)_SnowSurvey,WERC_Betty Pingo (P03)_SnowSurvey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1993-05-24 00:00:00,2009-04-30 00:00:00,95
1171,West Dock_SWE_snow survey,2664,WERC_West Dock_SnowSurvey,WERC_West Dock Snow_SnowSurvey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1999-05-21 00:00:00,2009-05-29 00:00:00,64
1172,Atigun_SWE_snow survey,7792,WERC_Atigun_SnowSurvey,WERC_Atigun_SnowSurvey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2010-05-15 00:00:00,2010-05-28 00:00:00,9
1173,Galbraith Lake_SWE__snow survey,7793,WERC_Galbraith Lake _snow survey,Galbraith Lake _snow survey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2010-05-15 00:00:00,2010-05-17 00:00:00,3
1174,Imnaviat Creek Basin_SWE_snow survey,7794,WERC_Imnaviat Creek Basin_snow survey,Imnaviat Creek Basin_snow survey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1985-05-08 00:00:00,2009-05-28 00:00:00,142
1175,Oil Spill Hill _SWE_snow survey,7795,WERC_Oil Spill Hill _snow survey,Oil Spill Hill _snow survey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2010-05-15 00:00:00,2010-05-24 00:00:00,6
1176,Upper Kuparuk_SWE_snow survey,7796,WERC_Upper Kuparuk_snow survey,Upper Kuparuk_snow survey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1999-05-13 00:00:00,2010-05-25 00:00:00,83
1186,WERC_ANA1__SWE_SnowSurvey,7797,WERC_ANA1,ANA1,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-22 00:00:00,2009-04-22 00:00:00,1
1622,WERC_ANA2_SWE_SnowSurvey,7798,WERC_ANA2,ANA2,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-20 00:00:00,2010-04-24 00:00:00,2
