"Name","G","Description"
"annual_peakmayjunedischargedatavalues","X",""
"annual_winterprecips","X",""
"attributes","X",""
"categories","X",""
"censorcodecv","X",""
"daily_airtempdatavalues","X",""
"daily_airtempmaxdatavalues","X",""
"daily_airtempmindatavalues","X",""
"daily_dischargedatavalues","X",""
"daily_precipdatavalues","X",""
"daily_rhdatavalues","X",""
"daily_snowdepthdatavalues","X",""
"daily_swedatavalues","X",""
"daily_winddirectiondatavalues","X",""
"daily_windspeeddatavalues","X",""
"datastreams","X",""
"datatypecv","X",""
"datavalues","X",""
"datavaluesraw","X",""
"derivedfrom","X",""
"devices","X",""
"ext_arc_arc","X",""
"ext_arc_point","X",""
"ext_fws_fishsample","X",""
"ext_reference","X",""
"ext_referencetowaterbody","X",""
"ext_waterbody","X",""
"generalcategorycv","X",""
"groupdescriptions","X",""
"groups","X",""
"hourly_airtempdatavalues","X",""
"hourly_precipdatavalues","X",""
"hourly_rhdatavalues","X",""
"hourly_snowdepthdatavalues","X",""
"hourly_swedatavalues","X",""
"hourly_winddirectiondatavalues","X",""
"hourly_windspeeddatavalues","X",""
"imiqversion","X",""
"incidents","X",""
"isometadata","X",""
"methods","X",""
"monthly_rh","X",""
"nhd_huc8","X",""
"offsettypes","X",""
"organizationdescriptions","X",""
"organizations","X",""
"processing","X",""
"qualifiers","X",""
"qualitycontrollevels","X",""
"rasterdatavalues","X",""
"samplemediumcv","X",""
"seriescatalog","X",""
"seriescatalog_62","X",""
"siteattributes","X",""
"sites","X",""
"sources","X",""
"spatialreferences","X",""
"speciationcv","X",""
"sysdiagrams","X",""
"topiccategorycv","X",""
"units","X",""
"valuetypecv","X",""
"variablenamecv","X",""
"variables","X",""
"verticaldatumcv","X",""
"yearly_avgwinterairtemps","X",""
"yearly_avgwinterprecips","X",""
"yearly_avgwinterrhs","X",""
"yearly_fallairtemps_avg","X",""
"yearly_fallprecips_avg","X",""
"yearly_peakdischarges","X",""
"yearly_peaksnowdepths","X",""
"yearly_peakswes","X",""
"yearly_springairtemps_avg","X",""
"yearly_springprecips_avg","X",""
"yearly_summerairtemps_avg","X",""
"yearly_summerdischarges_avg","X",""
"yearly_summerprecips_avg","X",""
"yearly_summerrhs_avg","X",""
"yearly_winterairtemps_avg","X",""
"yearly_winterprecips_avg","X",""
"yearly_winterrhs_avg","X",""
