Asik RAWS - Alaska - Noatak National Park and Preserve,,,,,,,,,,,,,,,
Date_Time,Precipitation (in),Wind Speed (mph),Wind Direction (degrees),Average Air Temperature (F),Relative Humidity (%),Battery Voltage (Volts),Wind Direction of Gust (degrees),Peak Wind Speed (mph),Solar Radiation (W m-²),Snow Depth (in),Minimum Air Temperature (F),Maximum Air Temperature (F),Soil Temperature 10 cm (F),Soil Temperature 20 cm (F),Soil Temperature 50 cm (F)
7/13/2012 17:00,0,10.1,189,51.67,89,13.2,200,11.6,203,2.2,50.86,52.96,56.4,55.5,53.5
7/13/2012 18:00,0.01,8.1,194,51.01,90,13.2,203,10.8,197,2.3,50.76,51.5,56.2,55.4,53.3
7/13/2012 19:00,0.02,7.7,198,50.41,96,13.2,209,9.1,127,2.3,49.71,51.39,56,55.3,53.2
7/13/2012 20:00,0.03,7.5,212,49.63,94,13.2,223,8.4,108,2.6,49.4,50.03,55.7,55.2,53.1
7/13/2012 21:00,0,7,213,49.58,98,13.1,219,10.1,96,2.5,49.42,49.84,55.4,55,53.1
7/13/2012 22:00,0.01,7.5,217,49.17,97,13.1,226,9.8,77,2.5,48.82,49.64,55.1,54.8,53
7/13/2012 23:00,0.01,6,191,48.38,98,13,224,9,36,2.5,47.67,49.13,54.8,54.5,52.9
7/14/2012 0:00,0.01,6.4,198,46.98,90,12.9,219,8.9,23,2.5,46.51,47.56,54.4,54.2,52.9
7/14/2012 1:00,0,0.9,11,46.58,95,12.8,182,3.4,13,2.4,45.82,46.93,53.9,53.9,52.8
7/14/2012 2:00,0,1.2,10,45.75,90,12.8,340,2.9,4,2.4,44.88,46.25,53.4,53.5,52.7
7/14/2012 3:00,0,0.2,17,45.76,90,12.7,4,1.3,1,2.4,45.3,46.14,53,53.2,52.5
7/14/2012 4:00,0,0.3,61,46.22,89,12.7,69,1.5,1,2.4,45.93,46.35,52.6,52.8,52.4
7/14/2012 5:00,0,0.6,131,45.65,95,12.7,143,1.7,3,2.4,45.3,46.45,52.2,52.5,52.3
7/14/2012 6:00,0.01,0.9,157,45.55,97,12.7,195,2.5,9,2.5,44.88,46.14,51.9,52.2,52.1
7/14/2012 7:00,0.01,2.7,174,45.08,99,12.8,181,4.1,19,2.4,44.78,45.3,51.6,51.9,51.9
7/14/2012 8:00,0.01,2.6,102,45.04,99,12.8,143,3.9,26,2.4,44.78,45.3,51.4,51.6,51.8
7/14/2012 9:00,0,5.3,131,45.72,100,12.9,161,8.8,48,2.5,44.99,47.4,51.2,51.4,51.6
7/14/2012 10:00,0,8.9,163,47.08,100,13,169,13.5,48,2.6,46.35,48.51,51.1,51.2,51.4
7/14/2012 11:00,0,10.4,181,48.84,87,13.2,190,12.2,128,2.6,47.67,50.49,51.1,51.1,51.3
7/14/2012 12:00,0,9.7,176,50.59,81,13.2,194,13.1,233,2.7,49.1,52.34,51.3,51,51.1
7/14/2012 13:00,0.01,10.4,171,51.77,85,13.2,172,15.5,344,2.4,49.86,53.56,51.8,51.1,51
7/14/2012 14:00,0.05,6.7,190,49.76,78,13.2,192,13.9,244,2.7,47.46,52.44,52.1,51.3,50.8
7/14/2012 15:00,0,5.5,168,53.66,75,13.2,213,9.4,560,2.5,51.91,55.59,52.6,51.6,50.8
7/14/2012 16:00,0,6.1,95,54.55,73,13.1,138,9.4,454,2.5,53.48,56.51,53.8,52.1,50.7
7/14/2012 17:00,0,10.4,203,55.97,62,13.1,227,15.5,599,2.5,54.64,57.88,54.7,52.7,50.7
7/14/2012 18:00,0,9,144,57.1,58,13.1,169,15.7,756,2.4,54.85,59.01,55.5,53.3,50.7
7/14/2012 19:00,0,11.2,153,56.01,62,13.1,202,16.3,436,2.5,53.95,58.87,56.3,53.9,50.7
7/14/2012 20:00,0,8.4,157,55.77,53,13.1,139,12.8,339,2.4,54.2,57.79,56.5,54.4,50.9
7/14/2012 21:00,0,11.9,134,54.92,68,13.1,177,15.4,305,2.3,53.69,56.83,56.6,54.8,51
7/14/2012 22:00,0,8.9,140,54.61,63,13.2,150,12.3,263,2.4,53.8,55.6,56.5,54.9,51.2
7/14/2012 23:00,0,8.2,134,53.13,73,13.1,143,10.2,82,2.4,52.28,54.53,56.2,55,51.4
7/15/2012 0:00,0,6,132,51.78,72,13,148,8.3,48,2.4,51.39,52.28,55.8,54.8,51.5
7/15/2012 1:00,0,4.6,118,51.11,76,13,163,7.9,24,2.5,50.68,51.6,55.2,54.5,51.7
7/15/2012 2:00,0,4.8,109,50.68,79,12.9,138,7.1,13,2.5,50.18,51.23,54.6,54.1,51.8
7/15/2012 3:00,0,4.8,65,49.76,78,12.8,99,7.3,7,2.3,48.82,50.39,53.9,53.7,51.8
7/15/2012 4:00,0,4.6,75,48.93,77,12.8,77,7,6,2.6,48.3,49.45,53.2,53.2,51.8
7/15/2012 5:00,0,4.8,81,48.72,78,12.8,92,7.2,13,2.5,48.41,49.28,52.5,52.7,51.8
7/15/2012 6:00,0,4.2,66,48.97,76,12.8,88,5.6,27,2.5,48.3,49.45,52,52.3,51.7
7/15/2012 7:00,0,2.7,66,49.81,78,13.1,76,5.1,87,2.5,49.02,50.76,51.5,51.9,51.6
7/15/2012 8:00,0,5.7,107,50.57,74,13.2,131,8.1,148,2.5,49.66,51.55,51.3,51.5,51.4
7/15/2012 9:00,0,7.4,123,50.59,77,13.2,129,9,115,2.4,50.18,51.87,51.4,51.3,51.2
7/15/2012 10:00,0,6.1,120,51.93,75,13.2,136,8.6,178,2.5,50.75,53.28,51.4,51.2,51.1
7/15/2012 11:00,0,7.8,120,52.54,72,13.2,140,11,159,2.5,52.18,53.04,51.6,51.2,50.9
7/15/2012 12:00,0,6.5,112,53.22,71,13.2,134,9.3,161,2.4,52.4,54,51.8,51.2,50.8
7/15/2012 13:00,0,8.5,125,56.07,60,13.2,140,13.3,419,2.4,53.87,58.45,52.1,51.3,50.7
7/15/2012 14:00,0,12.2,170,56.3,67,13.2,170,14.5,318,2.4,55.08,58.1,52.7,51.5,50.5
7/15/2012 15:00,0,13,183,55.83,69,13.2,210,16.5,310,2.4,54.65,58.72,53.2,51.8,50.5
7/15/2012 16:00,0,13.3,191,53.65,74,13.2,191,15.9,291,2.2,52.58,55.28,53.5,52.1,50.4
7/15/2012 17:00,0,10.2,188,56.43,56,13.2,207,13.4,525,2.3,53.22,60.29,53.7,52.4,50.4
7/15/2012 18:00,0,9.9,198,57.11,64,13.1,206,15.3,332,2.5,55.68,59.85,54.3,52.7,50.5
7/15/2012 19:00,0,12.9,217,57.74,49,13.2,244,18.8,354,2.3,56.31,59.66,54.6,53,50.5
7/15/2012 20:00,0,14.8,208,58.7,48,13.1,217,18.4,503,2.4,57.87,59.85,54.8,53.2,50.6
7/15/2012 21:00,0,13,215,57.64,51,13.1,216,17.3,299,2.2,56.94,58.6,54.9,53.5,50.7
7/15/2012 22:00,0,11.3,214,56.42,55,13.2,218,14.5,173,2.3,55.7,57.67,54.9,53.6,50.8
7/15/2012 23:00,0,9.7,222,55.25,59,13.2,227,12.2,104,2.3,54.06,55.94,54.7,53.6,50.9
7/16/2012 0:00,0,11.8,221,53.73,63,13,222,14.1,30,2.3,53.47,54.17,54.3,53.4,51
7/16/2012 1:00,0,11.1,237,53.29,64,12.9,228,13.5,10,2.3,52.96,53.59,53.9,53.2,51.1
7/16/2012 2:00,0,9.2,263,52.49,64,12.8,272,11,3,2.3,52.02,52.96,53.4,52.9,51.1
7/16/2012 3:00,0,5,243,51.92,70,12.8,252,8.6,1,2.2,51.43,52.58,53,52.6,51.2
7/16/2012 4:00,0,5,216,51.22,74,12.8,249,9,1,2.4,50.29,51.97,52.6,52.3,51.2
7/16/2012 5:00,0,5.9,213,50.22,76,12.8,223,8.2,3,2.3,49.87,50.6,52.3,52.1,51.1
7/16/2012 6:00,0,6.4,215,49.88,81,12.8,222,8.6,13,2.4,49.66,50.29,51.9,51.8,51.1
7/16/2012 7:00,0,1.9,179,49.32,78,12.9,350,4.6,36,2.5,48.93,49.87,51.6,51.5,51
7/16/2012 8:00,0,3.4,231,48.51,91,13,289,9.2,60,2.5,47.24,49.55,51.4,51.3,50.9
7/16/2012 9:00,0,6.5,209,47.59,95,13.2,246,9.1,84,2.4,47.35,47.88,51.2,51.1,50.8
7/16/2012 10:00,0,12.1,204,47.21,84,13.3,224,17.3,80,2.3,46.93,47.56,51.1,50.9,50.7
7/16/2012 11:00,0,16.3,206,48.28,83,13.3,222,20.2,277,2.3,47.46,50.29,50.9,50.8,50.5
7/16/2012 12:00,0,18.8,200,49.58,80,13.2,214,21.7,426,2.2,48.05,52.02,51.1,50.7,50.4
7/16/2012 13:00,0,18.4,203,51.72,78,13.2,211,20.6,579,2.2,49.46,54.68,51.5,50.7,50.3
7/16/2012 14:00,0,15.9,215,51.85,79,13.2,208,20.1,297,2.3,51,53.11,52.2,51,50.2
7/16/2012 15:00,0,20.5,226,51.77,80,13.2,239,23.8,323,2.2,50.31,52.81,52.5,51.2,50.1
7/16/2012 16:00,0,18.9,224,51.71,74,13.2,239,23.5,492,2.2,50.63,53.25,52.8,51.5,50.1
7/16/2012 17:00,0,19.1,238,51.54,67,13.2,248,22.6,413,2.3,50.62,53.01,53.1,51.7,50.1
7/16/2012 18:00,0,17,240,52,71,13.2,241,24.1,492,2.1,50.95,53.04,53.3,51.9,50.2
7/16/2012 19:00,0,12.3,244,50.78,76,13.2,270,15.5,165,2.3,50.03,51.56,53.5,52.2,50.2
7/16/2012 20:00,0,10.9,216,49.83,84,13.3,256,13.9,77,2.3,49.19,50.34,53.4,52.3,50.3
7/16/2012 21:00,0,9.8,221,49.01,85,13.2,220,13.1,62,2.3,48.39,49.6,53.3,52.3,50.4
7/16/2012 22:00,0,6.5,211,47.12,97,13.1,224,10.4,23,2.3,46.41,48.82,53,52.2,50.4
7/16/2012 23:00,0.01,5.9,229,46.08,98,12.9,249,8.5,10,2.4,45.59,46.41,52.7,52.1,50.5
7/17/2012 0:00,0,8.4,223,45.6,98,12.9,236,10.8,6,2.4,45.29,46.14,52.3,51.9,50.5
7/17/2012 1:00,0,7,204,45.06,99,12.8,220,9.6,2,2.5,44.77,45.4,51.8,51.6,50.5
7/17/2012 2:00,0,8,193,44.71,99,12.8,217,10.6,1,2.6,44.56,44.88,51.4,51.3,50.5
7/17/2012 3:00,0,10.8,200,44.49,100,12.8,206,14.9,0,2.5,44.35,44.67,51.1,51.1,50.5
7/17/2012 4:00,0.02,14,224,44.16,100,12.8,244,17.6,0,2.6,43.73,44.35,50.7,50.8,50.4
7/17/2012 5:00,0.03,14.1,234,43.6,100,12.7,258,16.2,1,2.5,43.41,43.83,50.3,50.5,50.3
7/17/2012 6:00,0.04,12.8,213,43.09,100,12.7,229,17.7,2,2.5,42.89,43.51,49.9,50.1,50.2
7/17/2012 7:00,0.04,11.1,202,42.83,100,12.7,201,13.7,4,2.6,42.68,42.89,49.5,49.8,50
7/17/2012 8:00,0.06,13.6,197,42.79,100,12.7,213,17.2,9,2.5,42.68,42.99,49.2,49.5,49.9
7/17/2012 9:00,0.04,15.1,202,42.85,100,12.8,212,17.6,14,2.4,42.68,42.99,48.8,49.2,49.7
7/17/2012 10:00,0.03,14.9,198,43.16,100,12.8,197,19.4,22,2.5,42.89,43.41,48.5,48.9,49.6
7/17/2012 11:00,0.04,14.3,202,43.46,100,12.9,206,17.4,23,2.5,43.31,43.73,48.3,48.7,49.4
7/17/2012 12:00,0.03,11.1,192,43.91,100,12.9,194,14.8,27,2.5,43.73,44.15,48.1,48.4,49.3
7/17/2012 13:00,0.06,10.1,199,44.45,100,13,217,13.2,45,2.6,44.04,44.99,47.9,48.2,49.1
7/17/2012 14:00,0.05,11,198,44.9,100,13.2,210,13.6,58,2.5,44.67,45.09,47.9,48.1,48.9
7/17/2012 15:00,0.04,10.1,197,44.99,100,13.3,213,13,61,2.5,44.78,45.3,47.9,48,48.8
7/17/2012 16:00,0.07,11.7,200,44.93,100,13.4,214,14.3,94,2.5,44.46,45.3,47.9,47.9,48.6
7/17/2012 17:00,0.02,12.2,190,44.94,100,13.4,200,14.5,119,2.5,44.56,45.61,48,47.9,48.5
7/17/2012 18:00,0.01,13.4,194,44.76,100,13.4,195,17.2,78,2.6,44.26,45.2,48,47.9,48.3
7/17/2012 19:00,0,14.2,203,44.39,100,13.4,200,18.2,88,2.3,44.15,44.78,48,47.9,48.2
7/17/2012 20:00,0,11.4,203,44.29,100,13.4,208,14.2,66,2.4,44.04,44.56,48,47.9,48.1
7/17/2012 21:00,0,9.5,204,44.44,100,13.4,198,12.1,60,2.4,44.26,44.67,48,47.8,48
7/17/2012 22:00,0,6.6,194,44.47,100,13.3,208,10.5,40,2.5,44.35,44.78,47.9,47.8,48
7/17/2012 23:00,0,7.3,172,44.61,100,13.2,183,9.1,22,2.4,44.35,44.88,47.9,47.7,47.9
7/18/2012 0:00,0,7.1,190,44.33,100,13,194,8.4,7,2.5,44.26,44.46,47.8,47.7,47.8
7/18/2012 1:00,0,6.4,181,44.32,100,12.9,197,8.3,2,2.5,44.26,44.35,47.7,47.6,47.8
7/18/2012 2:00,0.01,6.9,168,44.38,100,12.9,170,7.9,1,2.5,44.35,44.46,47.6,47.5,47.7
7/18/2012 3:00,0,7,177,44.34,100,12.8,188,8.7,0,2.5,44.26,44.35,47.4,47.4,47.6
7/18/2012 4:00,0.01,6.7,189,44.24,100,12.8,183,8.4,0,2.5,44.15,44.35,47.3,47.3,47.6
7/18/2012 5:00,0.01,6.1,180,44.26,100,12.8,187,9.4,0,2.6,44.15,44.35,47.2,47.2,47.5
7/18/2012 6:00,0.08,11.4,174,44.27,100,12.8,175,14.2,1,2.5,44.15,44.35,47,47,47.4
7/18/2012 7:00,0.05,10.3,194,44.04,100,12.8,214,14.1,6,2.5,43.73,44.15,46.9,46.9,47.3
7/18/2012 8:00,0.02,11.5,194,43.61,100,12.8,194,15.4,11,2.6,43.41,43.83,46.8,46.8,47.2
7/18/2012 9:00,0.01,11.5,202,43.4,100,12.8,207,14.1,17,2.7,43.31,43.51,46.6,46.7,47.1
7/18/2012 10:00,0.06,10.2,202,43.23,100,12.8,214,12.6,18,2.6,43.21,43.31,46.5,46.6,47
7/18/2012 11:00,0.1,9.7,210,43.31,100,12.9,222,12.2,19,2.6,43.1,43.41,46.4,46.4,47
7/18/2012 12:00,0.08,8,248,43.15,100,13,212,11.6,51,2.5,42.37,43.83,46.3,46.3,46.9
7/18/2012 13:00,0.01,3.7,292,43.23,100,13.4,288,7.2,107,2.7,42.57,43.94,46.3,46.3,46.8
7/18/2012 14:00,0.01,3,158,43.86,100,13.4,283,5.3,112,2.6,43.31,44.88,46.4,46.3,46.7
7/18/2012 15:00,0,2.7,61,44.23,100,13.4,352,4.9,149,2.6,43.69,44.96,46.6,46.4,46.6
7/18/2012 16:00,0.02,3.3,42,44.66,100,13.4,354,5.3,157,2.4,44.1,45.36,46.9,46.6,46.5
7/18/2012 17:00,0,4.1,162,45.21,100,13.4,188,7.9,146,2.5,44.41,45.78,47.3,46.8,46.5
7/18/2012 18:00,0.01,3.7,197,44.93,100,13.4,198,4.9,93,2.6,44.41,45.67,47.8,47.2,46.5
7/18/2012 19:00,0.01,2.9,214,45.12,100,13.4,227,5.1,148,2.6,44.62,45.57,48.1,47.4,46.5
7/18/2012 20:00,0.01,5.3,211,45.23,100,13.4,236,7.1,166,2.6,44.62,45.78,48.3,47.7,46.5
7/18/2012 21:00,0.01,6.2,180,45.27,100,13.4,187,9.4,120,2.5,44.73,46.3,48.6,47.9,46.5
7/18/2012 22:00,0,3.3,173,45.24,100,13.3,178,5.5,56,2.7,44.83,45.67,48.7,48.1,46.6
7/18/2012 23:00,0,4.8,172,45.23,100,13.3,174,6.8,35,2.6,44.77,45.78,48.7,48.1,46.7
7/19/2012 0:00,0,3,128,45,100,13.1,180,4.9,20,2.5,44.78,45.2,48.7,48.2,46.7
7/19/2012 1:00,0,4.3,70,45.26,100,13,79,5.5,7,2.6,45.09,45.4,48.5,48.1,46.8
7/19/2012 2:00,0,4.8,92,45.03,100,12.9,81,6.4,5,2.6,44.78,45.3,48.4,48.1,46.8
7/19/2012 3:00,0,3.9,75,44.87,100,12.9,95,5.4,3,2.7,44.78,44.99,48.2,48,46.9
7/19/2012 4:00,0,3.6,94,44.96,100,12.8,114,5.3,4,2.6,44.88,44.99,48,47.8,46.9
