datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
41175,NPS_ASIA2,15770,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41176,NPS_CREA2,15771,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41177,NPS_CHMA2,15772,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41178,NPS_CTUA2,15773,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41179,NPS_CCLA2,15774,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41180,NPS_DVLA2,15775,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41181,NPS_DKLA2,15776,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41182,NPS_EVCA2,15777,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41183,NPS_ELLA2,15778,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41184,NPS_GGLA2,15779,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41185,NPS_HOWA2,15780,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41186,NPS_IMYA2,15781,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41187,NPS_KAUA2,15782,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41188,NPS_KLIA2,15783,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41189,NPS_KUGA2,15784,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41190,NPS_MITA2,15785,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41191,NPS_MNOA2,15786,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41192,NPS_PAMA2,15787,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41193,NPS_RAMA2,15788,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41194,NPS_RUGA2,15789,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41195,NPS_SRWA2,15790,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41196,NPS_SRTA2,15791,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41197,NPS_SSIA2,15792,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41198,NPS_SMPA2,15793,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41199,NPS_TAHA2,15794,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41200,NPS_TANA2,15795,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41201,NPS_TEBA2,15796,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41202,NPS_TKLA2,15797,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41203,NPS_UPRA2,15798,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41204,NPS_WIGA2,15799,1170,NPS_Precipitation,1,33,,,,,,12/1/16,,
41205,NPS_ASIA2,15770,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41206,NPS_CREA2,15771,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41207,NPS_CHMA2,15772,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41208,NPS_CTUA2,15773,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41209,NPS_CCLA2,15774,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41210,NPS_DVLA2,15775,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41211,NPS_DKLA2,15776,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41212,NPS_EVCA2,15777,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41213,NPS_ELLA2,15778,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41214,NPS_GGLA2,15779,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41215,NPS_HOWA2,15780,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41216,NPS_IMYA2,15781,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41217,NPS_KAUA2,15782,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41218,NPS_KLIA2,15783,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41219,NPS_KUGA2,15784,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41220,NPS_MITA2,15785,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41221,NPS_MNOA2,15786,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41222,NPS_PAMA2,15787,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41223,NPS_RAMA2,15788,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41224,NPS_RUGA2,15789,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41225,NPS_SRWA2,15790,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41226,NPS_SRTA2,15791,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41227,NPS_SSIA2,15792,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41228,NPS_SMPA2,15793,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41229,NPS_TAHA2,15794,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41230,NPS_TANA2,15795,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41231,NPS_TEBA2,15796,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41232,NPS_TKLA2,15797,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41233,NPS_UPRA2,15798,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41234,NPS_WIGA2,15799,1171,NPS_Wind_Speed,1,33,,,,,,12/1/16,,
41235,NPS_ASIA2,15770,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41236,NPS_CREA2,15771,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41237,NPS_CHMA2,15772,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41238,NPS_CTUA2,15773,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41239,NPS_CCLA2,15774,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41240,NPS_DVLA2,15775,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41241,NPS_DKLA2,15776,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41242,NPS_EVCA2,15777,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41243,NPS_ELLA2,15778,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41244,NPS_GGLA2,15779,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41245,NPS_HOWA2,15780,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41246,NPS_IMYA2,15781,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41247,NPS_KAUA2,15782,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41248,NPS_KLIA2,15783,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41249,NPS_KUGA2,15784,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41250,NPS_MITA2,15785,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41251,NPS_MNOA2,15786,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41252,NPS_PAMA2,15787,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41253,NPS_RAMA2,15788,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41254,NPS_RUGA2,15789,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41255,NPS_SRWA2,15790,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41256,NPS_SRTA2,15791,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41257,NPS_SSIA2,15792,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41258,NPS_SMPA2,15793,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41259,NPS_TAHA2,15794,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41260,NPS_TANA2,15795,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41261,NPS_TEBA2,15796,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41262,NPS_TKLA2,15797,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41263,NPS_UPRA2,15798,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41264,NPS_WIGA2,15799,1172,NPS_Wind_Dir,1,33,,,,,,12/1/16,,
41265,NPS_ASIA2,15770,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41266,NPS_CREA2,15771,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41267,NPS_CHMA2,15772,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41268,NPS_CTUA2,15773,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41269,NPS_CCLA2,15774,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41270,NPS_DVLA2,15775,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41271,NPS_DKLA2,15776,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41272,NPS_EVCA2,15777,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41273,NPS_ELLA2,15778,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41274,NPS_GGLA2,15779,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41275,NPS_HOWA2,15780,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41276,NPS_IMYA2,15781,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41277,NPS_KAUA2,15782,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41278,NPS_KLIA2,15783,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41279,NPS_KUGA2,15784,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41280,NPS_MITA2,15785,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41281,NPS_MNOA2,15786,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41282,NPS_PAMA2,15787,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41283,NPS_RAMA2,15788,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
