,datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
0,40815,NPS_ASIA2,15770,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
1,40816,NPS_CREA2,15771,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
2,40817,NPS_CHMA2,15772,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
3,40818,NPS_CTUA2,15773,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
4,40819,NPS_CCLA2,15774,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
5,40820,NPS_DVLA2,15775,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
6,40821,NPS_DKLA2,15776,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
7,40822,NPS_EVCA2,15777,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
8,40823,NPS_ELLA2,15778,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
9,40824,NPS_GGLA2,15779,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
10,40825,NPS_HOWA2,15780,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
11,40826,NPS_IMYA2,15781,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
12,40827,NPS_KAUA2,15782,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
13,40828,NPS_KLIA2,15783,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
14,40829,NPS_KUGA2,15784,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
15,40830,NPS_MITA2,15785,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
16,40831,NPS_MNOA2,15786,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
17,40832,NPS_PAMA2,15787,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
18,40833,NPS_RAMA2,15788,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
19,40834,NPS_RUGA2,15789,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
20,40835,NPS_SRWA2,15790,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
21,40836,NPS_SRTA2,15791,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
22,40837,NPS_SSIA2,15792,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
23,40838,NPS_SMPA2,15793,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
24,40839,NPS_TAHA2,15794,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
25,40840,NPS_TANA2,15795,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
26,40841,NPS_TEBA2,15796,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
27,40842,NPS_TKLA2,15797,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
28,40843,NPS_UPRA2,15798,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
29,40844,NPS_WIGA2,15799,1170,NPS_Precipitation,1,33,,,,,,2016-12-01,,
30,40845,NPS_ASIA2,15770,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
31,40846,NPS_CREA2,15771,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
32,40847,NPS_CHMA2,15772,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
33,40848,NPS_CTUA2,15773,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
34,40849,NPS_CCLA2,15774,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
35,40850,NPS_DVLA2,15775,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
36,40851,NPS_DKLA2,15776,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
37,40852,NPS_EVCA2,15777,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
38,40853,NPS_ELLA2,15778,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
39,40854,NPS_GGLA2,15779,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
40,40855,NPS_HOWA2,15780,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
41,40856,NPS_IMYA2,15781,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
42,40857,NPS_KAUA2,15782,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
43,40858,NPS_KLIA2,15783,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
44,40859,NPS_KUGA2,15784,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
45,40860,NPS_MITA2,15785,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
46,40861,NPS_MNOA2,15786,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
47,40862,NPS_PAMA2,15787,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
48,40863,NPS_RAMA2,15788,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
49,40864,NPS_RUGA2,15789,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
50,40865,NPS_SRWA2,15790,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
51,40866,NPS_SRTA2,15791,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
52,40867,NPS_SSIA2,15792,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
53,40868,NPS_SMPA2,15793,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
54,40869,NPS_TAHA2,15794,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
55,40870,NPS_TANA2,15795,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
56,40871,NPS_TEBA2,15796,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
57,40872,NPS_TKLA2,15797,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
58,40873,NPS_UPRA2,15798,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
59,40874,NPS_WIGA2,15799,1171,NPS_Wind_Speed,1,33,,,,,,2016-12-01,,
60,40875,NPS_ASIA2,15770,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
61,40876,NPS_CREA2,15771,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
62,40877,NPS_CHMA2,15772,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
63,40878,NPS_CTUA2,15773,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
64,40879,NPS_CCLA2,15774,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
65,40880,NPS_DVLA2,15775,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
66,40881,NPS_DKLA2,15776,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
67,40882,NPS_EVCA2,15777,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
68,40883,NPS_ELLA2,15778,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
69,40884,NPS_GGLA2,15779,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
70,40885,NPS_HOWA2,15780,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
71,40886,NPS_IMYA2,15781,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
72,40887,NPS_KAUA2,15782,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
73,40888,NPS_KLIA2,15783,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
74,40889,NPS_KUGA2,15784,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
75,40890,NPS_MITA2,15785,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
76,40891,NPS_MNOA2,15786,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
77,40892,NPS_PAMA2,15787,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
78,40893,NPS_RAMA2,15788,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
79,40894,NPS_RUGA2,15789,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
80,40895,NPS_SRWA2,15790,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
81,40896,NPS_SRTA2,15791,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
82,40897,NPS_SSIA2,15792,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
83,40898,NPS_SMPA2,15793,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
84,40899,NPS_TAHA2,15794,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
85,40900,NPS_TANA2,15795,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
86,40901,NPS_TEBA2,15796,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
87,40902,NPS_TKLA2,15797,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
88,40903,NPS_UPRA2,15798,1172,NPS_Wind_Dir,1,33,,,,,,2016-12-01,,
