,siteid,sitecode,sitename,spatialcharacteristics,sourceid,verticaldatum,localprojectionid,posaccuracy_m,state,county,comments,latlongdatumid,geolocation,locationdescription,updated_at
0,15770,NPS_ASIA2,Asik(NOAT),POINT,136,Unknown,,,Alaska,,NOAT,3,POINT(-162.2664 67.4749 1329),,2016-12-16 10:49:44.707258
1,15771,NPS_CREA2,Chicken Creek(WRST),POINT,136,Unknown,,,Alaska,,WRST,3,POINT(-141.8473 62.124 5240),,2016-12-16 10:49:44.707258
2,15772,NPS_CHMA2,Chimney Lake(GAAR),POINT,136,Unknown,,,Alaska,,GAAR,3,POINT(-150.585 67.7142 3780),,2016-12-16 10:49:44.707258
3,15773,NPS_CTUA2,Chititu(WRST),POINT,136,Unknown,,,Alaska,,WRST,3,POINT(-142.6209 61.2736 4544),,2016-12-16 10:49:44.707258
4,15774,NPS_CCLA2,Coal Creek(YUCH),POINT,136,Unknown,,,Alaska,,YUCH,3,POINT(-143.157 65.3041 958),,2016-12-16 10:49:44.707258
5,15775,NPS_DVLA2,Devil Mountain(BELA),POINT,136,Unknown,,,Alaska,,BELA,3,POINT(-164.5309 66.2759 285),,2016-12-16 10:49:44.707258
6,15776,NPS_DKLA2,Dunkle Hills(DENA),POINT,136,Unknown,,,Alaska,,DENA,3,POINT(-149.5392 63.2675 2651),,2016-12-16 10:49:44.707258
7,15777,NPS_EVCA2,Eielson Visitor Center(DENA),POINT,136,Unknown,,,Alaska,,DENA,3,POINT(-150.3108 63.4309 3652),,2016-12-16 10:49:44.707258
8,15778,NPS_ELLA2,Ella Creek(BELA),POINT,136,Unknown,,,Alaska,,BELA,3,POINT(-163.82 65.2752 2300),,2016-12-16 10:49:44.707258
9,15779,NPS_GGLA2,Gates Glacier(WRST),POINT,136,Unknown,,,Alaska,,WRST,3,POINT(-143.0132 61.6029 4058),,2016-12-16 10:49:44.707258
10,15780,NPS_HOWA2,Howard Pass(NOAT),POINT,136,Unknown,,,Alaska,,NOAT,3,POINT(-156.8958 68.156 2060),,2016-12-16 10:49:44.707258
11,15781,NPS_IMYA2,Imelyak(NOAT),POINT,136,Unknown,,,Alaska,,NOAT,3,POINT(-157.0774 67.5448 3619),,2016-12-16 10:49:44.707258
12,15782,NPS_KAUA2,Kaluich(NOAT),POINT,136,Unknown,,,Alaska,,NOAT,3,POINT(-158.4317 67.5734 2487),,2016-12-16 10:49:44.707258
13,15783,NPS_KLIA2,Killik Pass(GARR),POINT,136,Unknown,,,Alaska,,GAAR,3,POINT(-155.013 67.9835 4354),,2016-12-16 10:49:44.707258
14,15784,NPS_KUGA2,Kugururok(NOAT),POINT,136,Unknown,,,Alaska,,NOAT,3,POINT(-161.4919 68.3165 939),,2016-12-16 10:49:44.707258
15,15785,NPS_MITA2,Midnight Mountain(BELA),POINT,136,Unknown,,,Alaska,,BELA,3,POINT(-164.5428 65.8203 2267),,2016-12-16 10:49:44.707258
16,15786,NPS_MNOA2,Mt. Noak(CARK),POINT,136,Unknown,,,Alaska,,CAKR,3,POINT(-162.9945 67.1414 810),,2016-12-16 10:49:44.707258
17,15787,NPS_PAMA2,Pamichtuk Lake(GARR),POINT,136,Unknown,,,Alaska,,GAAR,3,POINT(-152.1642 67.7663 3294),,2016-12-16 10:49:44.707258
18,15788,NPS_RAMA2,Ram Creek(GARR),POINT,136,Unknown,,,Alaska,,GAAR,3,POINT(-154.3446 67.6243 4111),,2016-12-16 10:49:44.707258
19,15789,NPS_RUGA2,Ruth Glacier(DENA),POINT,136,Unknown,,,Alaska,,DENA,3,POINT(-150.5397 62.7097 3301),,2016-12-16 10:49:44.707258
20,15790,NPS_SRWA2,Salmon River(KOVA),POINT,136,Unknown,,,Alaska,,KOVA,3,POINT(-159.8413 67.4599 1263),,2016-12-16 10:49:44.707258
21,15791,NPS_SRTA2,Serpentine(BELA),POINT,136,Unknown,,,Alaska,,BELA,3,POINT(-164.7078 65.8523 518),,2016-12-16 10:49:44.707258
22,15792,NPS_SSIA2,Sisiak(NOAT),POINT,136,Unknown,,,Alaska,,NOAT,3,POINT(-160.3957 67.995 1824),,2016-12-16 10:49:44.707258
23,15793,NPS_SMPA2,Stampede(DENA),POINT,136,Unknown,,,Alaska,,DENA,3,POINT(-150.3281 63.7478 1801),,2016-12-16 10:49:44.707258
24,15794,NPS_TAHA2,Tahinichok(CARK),POINT,136,Unknown,,,Alaska,,CAKR,3,POINT(-163.5672 67.5502 965),,2016-12-16 10:49:44.707258
25,15795,NPS_TANA2,Tana Knob(WRST),POINT,136,Unknown,,,Alaska,,WRST,3,POINT(-142.9013 60.908 3740),,2016-12-16 10:49:44.707258
26,15796,NPS_TEBA2,Tebay(WRST),POINT,136,Unknown,,,Alaska,,WRST,3,POINT(-144.3422 61.181 1880),,2016-12-16 10:49:44.707258
27,15797,NPS_TKLA2,Toklat(DENA),POINT,136,Unknown,,,Alaska,,DENA,3,POINT(-150.0433 63.5242 2920),,2016-12-16 10:49:44.707258
28,15798,NPS_UPRA2,Upper Charley(YUCH),POINT,136,Unknown,,,Alaska,,YUCH,3,POINT(-143.2022 64.5167 3655),,2016-12-16 10:49:44.707258
29,15799,NPS_WIGA2,Wigand(DENA),POINT,136,Unknown,,,Alaska,,DENA,3,POINT(-150.1094 63.8142 1782),,2016-12-16 10:49:44.707258
