"Name","G","Description"
"airtemp_totalyears","X",""
"annual_avgpeakmayjunedischarge_yearcount","X",""
"annual_avgsummerprecip_yearcount","X",""
"annual_avgsummerprecips","X",""
"annual_avgwinterprecip_yearcount","X",""
"boundarycatalog","X",""
"boundarycatalog_62","X",""
"catalog","X",""
"currentsites","X",""
"daily_airtemp","X",""
"daily_airtempmax","X",""
"daily_airtempmin","X",""
"daily_discharge","X",""
"daily_precip","X",""
"daily_rh","X",""
"daily_snowdepth","X",""
"daily_swe","X",""
"daily_utcdatetime","X",""
"daily_winddirection","X",""
"daily_windspeed","X",""
"datastreamvariables","X",""
"datavaluesaggregate","X",""
"discharge_totalyears","X",""
"hourly_airtemp","X",""
"hourly_precip","X",""
"hourly_rh","X",""
"hourly_snowdepth","X",""
"hourly_swe","X",""
"hourly_utcdatetime","X",""
"hourly_winddirection","X",""
"hourly_windspeed","X",""
"monthly_airtemp","X",""
"monthly_discharge","X",""
"monthly_precip","X",""
"monthly_snowdepth","X",""
"odmdatavalues","X",""
"odmdatavalues_metric","X",""
"precip_totalyears","X",""
"queryme","X",""
"rh_totalyears","X",""
"siteattributesource","X",""
"sitegeography","X",""
"sitesource","X",""
"sitesourcedescription","X",""
"snowdepth_totalyears","X",""
"swe_totalyears","X",""
"wd_totalyears","X",""
"ws_totalyears","X",""
"yearly_avgfallairtemp","X",""
"yearly_avgfallairtemps","X",""
"yearly_avgfallprecip","X",""
"yearly_avgfallprecips","X",""
"yearly_avgpeakdischarge","X",""
"yearly_avgpeakdischarges","X",""
"yearly_avgpeaksnowdepth","X",""
"yearly_avgpeaksnowdepths","X",""
"yearly_avgpeakswe","X",""
"yearly_avgpeakswes","X",""
"yearly_avgspringairtemp","X",""
"yearly_avgspringairtemps","X",""
"yearly_avgspringprecip","X",""
"yearly_avgspringprecips","X",""
"yearly_avgsummerairtemp","X",""
"yearly_avgsummerairtemps","X",""
"yearly_avgsummerdischarge","X",""
"yearly_avgsummerdischarges","X",""
"yearly_avgsummerprecip","X",""
"yearly_avgsummerprecips","X",""
"yearly_avgsummerrh","X",""
"yearly_avgsummerrhs","X",""
"yearly_avgwinterairtemp","X",""
"yearly_avgwinterprecip","X",""
"yearly_avgwinterrh","X",""
